idinspection,inspector_name,fruit,inspection_date,container,exporter,importer,vessel,arrival_date,o2_level_percent,co2_level_percent,pulp_temp_c,atmosphere,etd,int_pallet_nr,pallet_number,caliber,box_net_weight_g,grower,grw_boxes_per_pallet,total_boxes_per_pallet,packing_date,peduncular_mold,decay,soft,dehydrated,cold_damage,bruises,open_injury,scissor_damage,russet_greater_than_4_cm,insect_damage,sunburn,deformed,inspected_boxes
1,Muayad,AVOCADOS,2017-01-02,BMOU963131-2,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-10,4.0,7.0,4.4,STARCOOL,2016-12-16,1,5480469298,5,10379,SAN CARLOS,120,120,2016-12-13,1,1,0,0,0,0,0,0,3,0,0,0,2
2,Arjun,MANDARINS,2017-01-02,BMOU960422-0,SJ EXPORT,MKVTRB,SANTA CLARA,2018-01-19,3.7,7.9,4.1,STARCOOL,2016-12-01,2,5480469298,14,10629,SAN CARLOS,120,120,2016-12-12,0,0,0,0,0,0,0,0,3,0,0,0,2
3,Jost,AVOCADOS,2017-01-02,BMOU961097-9,SJ EXPORT,FRUITS EXOTICS,MSC CHLOE,2017-01-05,4.4,7.1,6.2,STARCOOL,2016-12-16,3,F544133,1-xxx,10865,SAN CARLOS,120,120,2016-12-13,0,0,0,0,0,0,0,0,3,0,0,1,2
4,Sarah,MANDARINS,2017-01-02,SUDU962715-3,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-01-09,3.9,7.1,,STARCOOL,2016-12-16,4,5480469108,18,10515,TRES MONTES,120,120,2016-12-07,0,1,0,0,0,0,0,0,0,0,0,0,2
5,Muayad,MANDARINS,2017-01-02,SUDU931477-9,SJ EXPORT,FRUITS EXOTICS,CMA CGM NIAGARA,2017-01-10,4.6,7.0,5.4,STARCOOL,2016-12-08,5,F542622,14,9951,SAN CARLOS,120,120,2016-11-24,0,0,0,0,0,1,0,0,3,0,0,1,2
6,Sarah,MANDARINS,2017-01-02,BMOU 963197-1,SJ EXPORT,MKVTRB,SANTA CATALINA,2017-01-05,4.3,7.3,5.1,STARCOOL,2017-12-20,6,5480469214,18,10149,SAN CARLOS,120,120,2016-12-06,0,0,0,2,0,0,1,0,6,1,0,3,2
7,Sarah,MANDARINS,2017-01-02,MSCU267656-1,SJ EXPORT,EUROCITRICS,MSC CHLOE,2017-01-05,4.0,8.8,5.5,STARCOOL,2019-01-26,7,5480469298,14,9951,SAN CARLOS,120,120,2016-12-12,0,1,0,0,0,0,0,2,0,0,0,2,2
8,Emily,AVO 4K,2017-01-02,SUDU931477-9,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2018-01-19,3.9,8.3,3.8,STARCOOL,2016-12-09,8,5480468502,1-x,9951,SAN CARLOS,300,300,2016-12-12,0,0,0,0,0,0,0,0,6,0,0,0,2
9,Arjun,MANDARINS,2017-01-02,BMOU 963197-1,CITRICS CL,FRUITS EXOTICS,MSC ATHENS,2017-01-09,8.6,,5.5,,2017-12-25,9,5480469108,20,10493,AGRICOLA AA,120,120,2018-12-13,0,0,0,1,0,0,0,3,1,0,1,0,2
10,Jost,MANDARINS,2017-01-02,BMOU 963267-0,CITRICS CL,FRUITS EXOTICS,MSC CHLOE,2017-01-05,4.6,8.8,,STARCOOL,2016-12-08,10,5480475291,14,9951,SAN CARLOS,120,120,2016-12-06,2,1,0,0,5,0,0,3,6,0,0,0,1
